,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID007707-1,0.2125284598493211,0.1070439489174107,6.742746561747797e-05,0.05075763225104822,0.03729958043468245,0.2682012622831729,0.3241016887987471,0.7573635019556657,0.5340612756642652
CID007825-1,0.2778782906470316,0.029481440517551864,0.006693431949309159,0.3605847205264053,0.12239524505135262,0.014007270033559678,0.18895960127478975,0.8538794572771565,0.6860625091022773
CID007827-1,0.30610200518935854,0.0311994164123438,0.0003014690049432114,0.1861525425222027,0.00042222261621443477,0.30274159836716646,0.17308074588777098,0.8810270617919161,0.6291506465791238
CID007829-1,0.20467290203193814,0.0003133442105321612,0.005568202493569069,0.457443932709874,6.19886257047225e-05,0.256298715855718,0.07564091407266389,0.8783009030694158,0.5799160663859178
CID007845-1,0.0017910335934358621,0.0038611645000907104,0.005468577615822448,0.113221047905453,0.00019744375510831092,0.4166337909221596,0.45882694170793004,0.8316348845955621,0.5628727138184787
CID007847-1,0.2667493532725835,0.0035368844088894988,6.308737093718762e-05,0.16812813014855355,0.002948280229810795,0.2329644951891917,0.3256097693800338,0.8749439344764663,0.6372797003288673
CID007849-1,0.322680666565724,0.03156418293097802,0.00018151683328999018,0.0833663459278111,0.05045112486715462,0.22824185275656494,0.28351431011847744,0.8408212558628114,0.5862357406048866
CID008109-1,0.33165487290764584,0.044258408163018494,0.015443278990187919,0.15913052371715544,0.0004724033078383173,0.2898986189154941,0.15914189399865986,0.8061660990787576,0.5476901016033723
CID008114-1,0.30178062326079186,0.0008399577138916578,0.017118718659184417,0.180131844194952,0.0007583370725546012,0.2903367411070215,0.20903377799160391,0.866601118189007,0.5909036935154827
CID008122-1,0.1622909064604923,0.10237508577298024,2.4295997283021552e-05,0.12649756415180144,0.004099118993011881,0.3266074536983409,0.2781055749260902,0.7133128961146322,0.5902993582832219
CID008457-1,0.00036342054427151077,0.0010701528207376627,0.00955950683930247,0.1979227990112369,0.0002016678861173462,0.06204649447834966,0.7288359584199844,0.7675224607887925,0.5149054299653879
