,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID004722-1,0.0012927951694030344,0.06747661945835703,0.00010715970659335907,0.08989759037382729,0.3113185701617545,0.24330362315259588,0.2866036419774689,0.7622077730161076,0.5718418710131333
CID004723-1,0.0011283699443991582,0.12844881109421047,0.0005598040145953113,0.09217681842512135,0.2599343326948981,0.22235151951397616,0.2954003443127995,0.7226159156048899,0.5548815704981734
CID004724-1,3.708818735264493e-05,0.31804542661948537,0.00021877337772450428,0.016055464058545587,0.19482428010747307,0.03987170548045018,0.4309472621689687,0.741426991754392,0.5813208512655541
CID004725-1,0.24292834932107535,0.014293090028949755,0.008697074527475961,0.1799192305720995,0.03251573853779059,0.17901850155868232,0.34262801545392646,0.8758517404913485,0.664980233626456
CID004726-1,0.007773297630093101,0.002061897099574007,0.010684635235240582,0.14640613545294293,0.10097101613132027,0.05840154296941077,0.6737014754814183,0.8043289508454392,0.6158570364295038
CID004727-1,0.018820752815777022,0.3335066992871339,0.0001665447832242164,0.015437594693997463,0.058390590568428,0.2846708165882494,0.28900700126319,0.7489359511577387,0.543657212442364
CID004728-1,0.20691285384726157,0.09306095547638608,4.3724816789383996e-05,0.14588797128873005,0.16161101154106908,0.09020111680594851,0.3022823662238153,0.7900154400411734,0.6270732163835224
CID004729-1,0.007064875853461496,0.21018817953168287,0.00018664415402218452,0.04443959464940188,0.08788473769660786,0.010514563736986181,0.6397214043778375,0.7368214232707381,0.6028615576815152
CID004730-1,0.22290357871858718,0.17263483731448656,1.8222220129030234e-05,0.06011197818302384,0.00265062208917724,0.27527223986247573,0.26640852161212036,0.7600236112112071,0.5960474551125899
CID004731-1,0.12180007508065312,0.016609374873002857,0.03446792707714799,0.255697199652713,0.0022314019023843444,0.2485766988400505,0.3206173225740482,0.8311437860203932,0.6611313452730367
CID004732-1,0.0001380982099194346,0.21591731883042214,9.974384531346136e-05,0.008130417265457764,0.16560764392625602,0.3005420425488038,0.30956473537382734,0.7277275299030195,0.5775218230869609
CID004733-1,0.051774219244702484,0.09336109102651675,0.00044711239228539584,0.04182327777599888,0.07961661996171936,0.29242131593676446,0.4405563636620127,0.7923187069092911,0.578386366767981
CID004734-1,0.13755221670653842,0.16904033853443778,9.197476927436072e-07,0.04465295436988253,0.00039526080448390206,0.30921680471112767,0.339141505125837,0.737851250017289,0.5808235523603701
CID004735-1,0.0021148581364205305,0.10337935341341377,0.004110742425713438,0.35203401864207773,0.04914771069105823,0.045288612120358944,0.4439247045709573,0.766531163279082,0.6175038016508739
CID004736-1,0.016828528806229776,0.0750007990904509,0.00023502226551666317,0.0019521329502482719,0.24697187056331318,0.2756808594277231,0.383330786896518,0.7893915514060966,0.5553533942319379
CID004737-1,0.007796370063404913,0.09595082857485542,1.856653337057726e-05,0.021359986556804142,0.28168577464030226,0.10899164547420054,0.4841968281570623,0.7884380079799026,0.5755900338595207
CID004738-1,0.01847104858700447,0.3205742920545026,5.541788908960345e-05,0.005998574992773429,0.18643820282216614,0.20374461747280756,0.2647178461816561,0.7073305923557179,0.5670872057097612
CID004739-1,0.2921853254194622,0.0002741264658816525,0.0002473521321109882,0.04309525422937586,0.029555876092801196,0.1778236740722575,0.4568183915881106,0.8425557763386836,0.5779869315039442
CID004740-1,0.16710436269590612,0.06910935292648145,0.0001223473550352014,0.09904427370552815,0.12367809924707854,0.18418986505891602,0.3567516990110545,0.8327617667952808,0.5971725283364485
CID004741-1,0.1021405832131415,0.18247652747064488,0.00033590311082446525,0.08105096925065466,0.005479758570652918,0.15205245802018738,0.4764638003638943,0.7785062477049423,0.5710460011633154
CID004742-1,0.10917531029077998,0.000794738587494867,0.00042667590870331757,0.005281114314386571,0.08978024400808989,0.297072457489805,0.4974694594007404,0.802709111937046,0.5650718841985031
CID004743-1,0.16926163207406975,0.2920938980067391,0.0001940456104995326,0.019666555524425356,0.0017656023981723243,0.11199924491651218,0.40501902146958163,0.749563191613279,0.5839992527077384
CID004744-1,0.22029065528532565,0.06387279791338173,7.586213137683805e-05,0.028266602907022733,0.040780703810812564,0.18300767054973918,0.4637057074023412,0.7673952509892342,0.5957158644316165
CID004745-1,0.10560148275218101,0.046187584794546446,6.50673842606175e-05,0.10875042799439029,0.08641006892460026,0.3423299086876794,0.31065545946234197,0.7878703458650805,0.6236707826705662
CID004746-1,0.0018278096070638169,0.07698517050117203,0.00010909731916310593,0.011193357233593904,0.21764468759456473,0.3455531259418407,0.3466867518026017,0.7442994247189759,0.5301123185004495
CID004747-1,0.3312650405606594,0.0007630487143620498,0.03605038892824006,0.11150945337310496,0.03960319387172755,0.049182950025654974,0.431625924526251,0.8267952928579518,0.5938413542665603
CID004748-1,0.04360877414705731,0.08189886240658109,0.00027765209409889657,0.15506043374489423,0.1033138136311048,0.3037694133678986,0.31207105060836504,0.7885250240280816,0.6253347695894037
CID004749-1,0.0015896768073086751,0.3662275620232398,6.775398523313927e-05,0.0005620048299262642,0.11105162859573145,0.232993959399598,0.28750741435896277,0.7655935713225577,0.6103024609919806
CID004750-1,8.14757249945635e-05,0.06487943732373862,0.00015599459561035925,0.04335830150968108,0.17833102386844754,0.27681854178596776,0.43637522519156,0.7640333988818994,0.5490452280582787
CID004751-1,0.25436306368250733,0.06691635409107811,0.004135985176988303,0.1890289789984283,0.019519167791638203,0.19311952358970097,0.2729169266696588,0.7783519799845927,0.593969678536504
CID004752-1,0.06068278523197335,0.0017079446467984257,0.015677815519733306,0.2902292037070859,0.046070681248153965,0.11073838078199785,0.47489318886425724,0.8503612034853991,0.6293933325095888
CID004753-1,0.0035304040087708413,0.02797380895106396,0.0010060017361637056,0.1342203589246374,0.04761739079054119,0.349242877264561,0.43640915832426186,0.8404579450379367,0.6295550571196548
CID004754-1,0.001282125804851211,0.3208725757497152,0.00034132511284226566,0.11864385624311727,0.0889799421578294,0.08844802298118741,0.3814321519504572,0.7857255128059935,0.6278367229286838
CID004755-1,0.00021100219315051043,0.2742583097476105,0.00014903054646195392,0.15490371983214732,0.01665597328073952,0.291485685589305,0.2623362788105851,0.745657653924514,0.6170425872813183
CID004756-1,0.16890927003882214,0.028747669477603238,0.00032489254129718635,0.2590700108981077,0.11376335928431017,0.01780325814682892,0.41138153961303064,0.8077251215737147,0.6323804796918416
